 ,Angle,Mat1-TUK-3lay-190424_10kx_01_S1_OrientJ Hist.csv,Mat1-TUK-3lay-190424_10kx_01_S1_OrientJ Hist.csv Normalized,Mat1-TUK-3lay-190424_10kx_03_S1_OrientJ Hist.csv,Mat1-TUK-3lay-190424_10kx_03_S1_OrientJ Hist.csv Normalized,Mat1-TUK-3lay-190424_10kx_05_S1_OrientJ Hist.csv,Mat1-TUK-3lay-190424_10kx_05_S1_OrientJ Hist.csv Normalized,test_10k_S1_OrientJ Hist.csv,test_10k_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
35,-56,294.5413,0.0008,801.6741,0.0022,1898.7167,0.0050,286.7625,0.0011,3281.6946,0.0091
36,-55,240.3514,0.0007,959.5610,0.0027,1487.6722,0.0039,312.4451,0.0012,3000.0297,0.0085
37,-54,266.7498,0.0007,1245.7819,0.0034,1323.3358,0.0035,366.4026,0.0014,3202.2701,0.0090
38,-53,368.9219,0.0010,1543.5302,0.0043,2394.9255,0.0063,471.1526,0.0017,4778.5302,0.0133
39,-52,507.5543,0.0014,1622.3090,0.0045,5023.4084,0.0133,618.5821,0.0023,7771.8538,0.0215
40,-51,702.7576,0.0020,1461.3492,0.0040,6804.7238,0.0180,848.4164,0.0031,9817.2470,0.0271
41,-50,893.6025,0.0025,950.4977,0.0026,3723.4477,0.0098,1138.2545,0.0042,6705.8024,0.0191
42,-49,908.1056,0.0025,832.3459,0.0023,1730.5309,0.0046,1607.7786,0.0059,5078.7610,0.0153
43,-48,895.6997,0.0025,860.4404,0.0024,1458.7053,0.0039,2878.6241,0.0106,6093.4695,0.0194
44,-47,1225.5446,0.0034,1050.4227,0.0029,1944.2275,0.0051,3475.4537,0.0128,7695.6485,0.0242
45,-46,2262.4435,0.0063,2108.6737,0.0058,3186.8361,0.0084,3333.3267,0.0123,10891.2800,0.0328
46,-45,7572.6166,0.0212,5319.0199,0.0147,3376.5121,0.0089,3097.0513,0.0114,19365.1999,0.0562
47,-44,5379.8075,0.0151,3299.0050,0.0091,2224.7424,0.0059,2494.7115,0.0092,13398.2664,0.0393
48,-43,3266.4694,0.0092,1997.7596,0.0055,1698.7652,0.0045,1697.8406,0.0063,8660.8348,0.0255
49,-42,3154.1891,0.0088,4029.4076,0.0111,1333.2781,0.0035,2373.9525,0.0088,10890.8273,0.0322
50,-41,2744.3075,0.0077,6462.6146,0.0179,1103.8670,0.0029,1964.8514,0.0073,12275.6405,0.0358
51,-40,2538.8763,0.0071,4916.4686,0.0136,977.2690,0.0026,832.3792,0.0031,9264.9931,0.0264
52,-39,2273.9181,0.0064,3272.6281,0.0090,904.1979,0.0024,601.3823,0.0022,7052.1264,0.0200
53,-38,2324.8087,0.0065,2354.5453,0.0065,874.1645,0.0023,449.1295,0.0017,6002.6480,0.0170
54,-37,2085.8986,0.0058,2080.3549,0.0057,879.6784,0.0023,376.7766,0.0014,5422.7085,0.0152
55,-36,1881.0328,0.0053,2013.2538,0.0056,727.9681,0.0019,355.0955,0.0013,4977.3502,0.0141
56,-35,1869.6859,0.0052,2133.7489,0.0059,534.8174,0.0014,356.8563,0.0013,4895.1085,0.0138
57,-34,2533.5006,0.0071,2338.8024,0.0065,406.1738,0.0011,334.0486,0.0012,5612.5254,0.0159
58,-33,2610.5646,0.0073,2340.7294,0.0065,341.7332,0.0009,368.5867,0.0014,5661.6139,0.0161
59,-32,2341.8593,0.0066,2295.2609,0.0063,301.8677,0.0008,398.9599,0.0015,5337.9478,0.0152
60,-31,1995.2921,0.0056,2430.3824,0.0067,276.5626,0.0007,413.8864,0.0015,5116.1235,0.0145
61,-30,1934.7030,0.0054,2716.4259,0.0075,444.3639,0.0012,454.3661,0.0017,5549.8589,0.0158
62,-29,1398.7028,0.0039,2589.6268,0.0072,698.7662,0.0018,561.5533,0.0021,5248.6491,0.0150
63,-28,1240.9698,0.0035,2174.8888,0.0060,653.7407,0.0017,497.5306,0.0018,4567.1299,0.0130
64,-27,1169.1163,0.0033,1922.4156,0.0053,859.2859,0.0023,493.9510,0.0018,4444.7688,0.0127
65,-26,975.9647,0.0027,6008.8314,0.0166,1677.2067,0.0044,1257.9815,0.0046,9919.9843,0.0283
66,-25,1025.9586,0.0029,6865.1239,0.0190,1929.1037,0.0051,2824.4288,0.0104,12644.6150,0.0374
67,-24,653.5656,0.0018,3743.5995,0.0103,1085.6050,0.0029,4226.1339,0.0156,9708.9040,0.0306
68,-23,615.7963,0.0017,1478.7748,0.0041,533.4886,0.0014,2245.6717,0.0083,4873.7314,0.0155
69,-22,874.2075,0.0025,1310.8123,0.0036,481.4186,0.0013,1510.5406,0.0056,4176.9790,0.0130
70,-21,746.9008,0.0021,1089.4821,0.0030,550.7151,0.0015,1302.8836,0.0048,3689.9816,0.0114
71,-20,616.2091,0.0017,1021.6462,0.0028,646.3441,0.0017,1053.6293,0.0039,3337.8287,0.0101
72,-19,717.9512,0.0020,1610.7889,0.0045,222.4246,0.0006,1187.5665,0.0044,3738.7312,0.0115
73,-18,1146.9946,0.0032,3570.0175,0.0099,104.7103,0.0003,1006.3702,0.0037,5828.0926,0.0171
74,-17,1518.0929,0.0043,3813.8051,0.0105,74.9612,0.0002,448.3265,0.0017,5855.1857,0.0167
75,-16,1218.1077,0.0034,4539.4506,0.0125,79.2815,0.0002,946.7308,0.0035,6783.5706,0.0196
76,-15,620.8896,0.0017,4009.9086,0.0111,90.7990,0.0002,1333.1251,0.0049,6054.7223,0.0179
77,-14,1333.7914,0.0037,2435.0804,0.0067,104.0644,0.0003,1478.4232,0.0055,5351.3594,0.0162
78,-13,1766.7987,0.0050,2698.4174,0.0075,107.8526,0.0003,1601.9957,0.0059,6175.0644,0.0187
79,-12,1468.3956,0.0041,2369.1578,0.0065,161.7421,0.0004,1521.1160,0.0056,5520.4115,0.0166
80,-11,1519.9801,0.0043,1686.4362,0.0047,236.2514,0.0006,1375.7601,0.0051,4818.4278,0.0147
81,-10,2032.6893,0.0057,1243.6650,0.0034,292.8036,0.0008,2231.3355,0.0082,5800.4934,0.0181
82,-9,2475.0526,0.0069,997.4763,0.0028,421.6895,0.0011,1621.1082,0.0060,5515.3266,0.0168
83,-8,3651.0863,0.0102,973.9487,0.0027,526.1316,0.0014,448.1931,0.0017,5599.3597,0.0160
84,-7,3915.1801,0.0110,1059.0477,0.0029,398.8777,0.0011,206.7757,0.0008,5579.8812,0.0158
85,-6,2881.9042,0.0081,1111.8074,0.0031,247.2462,0.0007,143.6020,0.0005,4384.5598,0.0124
86,-5,5118.3856,0.0143,1388.1782,0.0038,212.5226,0.0006,193.8862,0.0007,6912.9726,0.0194
87,-4,4232.4393,0.0119,2467.1029,0.0068,263.3632,0.0007,1064.3104,0.0039,8027.2158,0.0233
88,-3,2762.2906,0.0077,2414.1405,0.0067,392.3649,0.0010,3043.8975,0.0112,8612.6935,0.0266
89,-2,4045.2362,0.0113,3369.9679,0.0093,702.4261,0.0019,3345.3839,0.0124,11463.0141,0.0349
90,-1,10780.8021,0.0302,1922.5980,0.0053,1749.8102,0.0046,3900.2564,0.0144,18353.4667,0.0545
91,0,24974.9291,0.0700,3416.1346,0.0094,3588.7870,0.0095,4734.0279,0.0175,36713.8786,0.1064
92,1,5671.4286,0.0159,2969.0367,0.0082,995.6789,0.0026,2445.3275,0.0090,12081.4717,0.0357
93,2,2690.5663,0.0075,1440.8621,0.0040,340.6793,0.0009,1576.5792,0.0058,6048.6869,0.0182
94,3,1801.3427,0.0050,972.9363,0.0027,230.1747,0.0006,1139.6724,0.0042,4144.1261,0.0125
95,4,1296.0665,0.0036,800.9902,0.0022,129.9924,0.0003,956.9996,0.0035,3184.0487,0.0096
96,5,990.5712,0.0028,772.6603,0.0021,72.9476,0.0002,1325.9359,0.0049,3162.1150,0.0100
97,6,842.8909,0.0024,1525.6473,0.0042,71.3969,0.0002,1756.1470,0.0065,4196.0821,0.0133
98,7,701.8870,0.0020,3191.9230,0.0088,100.2837,0.0003,1878.5003,0.0069,5872.5940,0.0180
99,8,615.6375,0.0017,2855.5751,0.0079,132.2651,0.0003,1548.8968,0.0057,5152.3745,0.0156
100,9,642.8292,0.0018,2735.6454,0.0076,188.5705,0.0005,1896.2769,0.0070,5463.3220,0.0169
101,10,896.1824,0.0025,2516.3597,0.0070,298.2549,0.0008,1587.5892,0.0059,5298.3862,0.0162
102,11,618.3925,0.0017,2057.0131,0.0057,870.0565,0.0023,757.8300,0.0028,4303.2921,0.0125
103,12,340.0896,0.0010,1345.5231,0.0037,1961.3320,0.0052,262.6827,0.0010,3909.6274,0.0109
104,13,600.4182,0.0017,1063.8806,0.0029,3019.2795,0.0080,153.6379,0.0006,4837.2162,0.0132
105,14,507.6302,0.0014,1550.8107,0.0043,3333.0419,0.0088,78.0689,0.0003,5469.5517,0.0148
106,15,378.4774,0.0011,2340.5360,0.0065,2651.5224,0.0070,45.8373,0.0002,5416.3731,0.0148
107,16,345.0018,0.0010,1538.6127,0.0043,2477.9865,0.0065,7.4182,2.739E-5,4369.0192,0.0118
108,17,366.1479,0.0010,1806.5553,0.0050,3260.2075,0.0086,0,0,5432.9107,0.0146
109,18,594.8096,0.0017,2407.1725,0.0067,3638.4990,0.0096,22.9037,8.458E-5,6663.3848,0.0181
110,19,1386.9503,0.0039,1346.9268,0.0037,3580.4719,0.0095,56.6816,0.0002,6371.0306,0.0173
111,20,2022.7858,0.0057,830.1222,0.0023,2906.7211,0.0077,75.8575,0.0003,5835.4866,0.0160
112,21,2603.2887,0.0073,1159.4941,0.0032,3305.9296,0.0087,108.4641,0.0004,7177.1765,0.0196
113,22,1855.5997,0.0052,1845.5236,0.0051,4637.7033,0.0123,207.0247,0.0008,8545.8513,0.0234
114,23,2079.0272,0.0058,985.1708,0.0027,10618.4650,0.0281,1184.5911,0.0044,14867.2541,0.0410
115,24,2224.8436,0.0062,0,0,12973.9328,0.0343,3130.0281,0.0116,18328.8045,0.0521
116,25,1334.2377,0.0037,1.2950,3.579E-6,2415.9289,0.0064,4209.9312,0.0155,7961.3928,0.0256
117,26,751.5795,0.0021,96.5833,0.0003,1358.8127,0.0036,3204.8941,0.0118,5411.8696,0.0178
