 ,Pore Area,Major Pore Axis,Minor Pore Axis,File Name
263,1051,43.7434,30.5915,Biomodal_m02_S1_Pore Data2.csv
264,13029,138.4739,119.7990,Biomodal_m02_S1_Pore Data2.csv
265,1066,57.0106,23.8074,Biomodal_m02_S1_Pore Data2.csv
266,976,40.9757,30.3273,Biomodal_m02_S1_Pore Data2.csv
267,347,25.5931,17.2630,Biomodal_m02_S1_Pore Data2.csv
268,2005,87.5533,29.1576,Biomodal_m02_S1_Pore Data2.csv
269,97,13.2060,9.3521,Biomodal_m02_S1_Pore Data2.csv
270,1977,69.2756,36.3359,Biomodal_m02_S1_Pore Data2.csv
271,9693,138.7653,88.9380,Biomodal_m02_S1_Pore Data2.csv
272,13980,172.7668,103.0284,Biomodal_m02_S1_Pore Data2.csv
273,23454,175.4275,170.2273,Biomodal_m02_S1_Pore Data2.csv
274,5310,106.4673,63.5021,Biomodal_m02_S1_Pore Data2.csv
275,2240,73.8808,38.6035,Biomodal_m02_S1_Pore Data2.csv
276,10606,152.8612,88.3414,Biomodal_m02_S1_Pore Data2.csv
277,4656,102.5306,57.8188,Biomodal_m02_S1_Pore Data2.csv
278,7660,127.5848,76.4434,Biomodal_m02_S1_Pore Data2.csv
279,14712,138.8986,134.8602,Biomodal_m02_S1_Pore Data2.csv
280,5562,130.0593,54.4502,Biomodal_m02_S1_Pore Data2.csv
281,929,49.8596,23.7234,Biomodal_m02_S1_Pore Data2.csv
282,24158,249.4207,123.3215,Biomodal_m02_S1_Pore Data2.csv
283,2455,84.2377,37.1070,Biomodal_m02_S1_Pore Data2.csv
284,2260,95.9629,29.9858,Biomodal_m02_S1_Pore Data2.csv
285,7206,135.6728,67.6257,Biomodal_m02_S1_Pore Data2.csv
286,1037,47.5686,27.7567,Biomodal_m02_S1_Pore Data2.csv
287,24728,230.1885,136.7778,Biomodal_m02_S1_Pore Data2.csv
288,48,8.5565,7.1426,Biomodal_m02_S1_Pore Data2.csv
289,359,30.1507,15.1603,Biomodal_m02_S1_Pore Data2.csv
290,797,55.9334,18.1425,Biomodal_m02_S1_Pore Data2.csv
291,1351,60.3429,28.5062,Biomodal_m02_S1_Pore Data2.csv
292,716,80.4629,11.3299,Biomodal_m02_S1_Pore Data2.csv
293,3119,92.5930,42.8891,Biomodal_m02_S1_Pore Data2.csv
294,334,55.5359,7.6574,Biomodal_m02_S1_Pore Data2.csv
295,314,46.6136,8.5768,Biomodal_m02_S1_Pore Data2.csv
296,152,18.4503,10.4894,Biomodal_m02_S1_Pore Data2.csv
297,140,16.7757,10.6257,Biomodal_m02_S1_Pore Data2.csv
298,126,15.3567,10.4468,Biomodal_m02_S1_Pore Data2.csv
299,88,11.2235,9.9830,Biomodal_m02_S1_Pore Data2.csv
300,70,11.1888,7.9657,Biomodal_m02_S1_Pore Data2.csv
301,52,8.6703,7.6362,Biomodal_m02_S1_Pore Data2.csv
