 ,Angle,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv,Gel-glu ES 221023_LM_01_segmented_OrientJ Hist.csv Normalized,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv,GelGlu_A 06.06.23 10k_65 KR_segmented_OrientJ Hist.csv Normalized,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv,GelGlu_B 11.10.23 10k_67 KR_segmented_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k11_segmented_OrientJ Hist.csv Normalized,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv,PCL_CAM_11.10.23_10k_13 KR_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_1_segmented_OrientJ Hist.csv Normalized,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv,PCL_CAM_4%_10KX_2_segmented_OrientJ Hist.csv Normalized,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv,UUS! 10%PCL2%PEO 4%CAM 101022 10k_segmented_OrientJ Hist.csv Normalized,binary_0_OrientJ Hist.csv,binary_0_OrientJ Hist.csv Normalized,binary_1_OrientJ Hist.csv,binary_1_OrientJ Hist.csv Normalized,binary_2_OrientJ Hist.csv,binary_2_OrientJ Hist.csv Normalized,binary_3_OrientJ Hist.csv,binary_3_OrientJ Hist.csv Normalized,binary_4_OrientJ Hist.csv,binary_4_OrientJ Hist.csv Normalized,binary_5_OrientJ Hist.csv,binary_5_OrientJ Hist.csv Normalized,binary_6_OrientJ Hist.csv,binary_6_OrientJ Hist.csv Normalized,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv,pclpeo cam 06.09.23 10k KR_segmented_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
54,-37,2713.8860,0.0090,775.7964,0.0050,1065.1800,0.0056,1522.7061,0.0040,932.8810,0.0035,1803.6034,0.0113,230.6055,0.0015,1380.6555,0.0036,505.5005,0.0019,409.2045,0.0016,1650.3932,0.0058,1063.5195,0.0045,811.2943,0.0033,2654.3901,0.0108,798.3617,0.0026,757.3417,0.0018,19075.3194,0.0758
55,-36,2745.1690,0.0100,733.0808,0.0047,709.0270,0.0037,1498.1334,0.0039,792.0022,0.0029,1284.8405,0.0081,161.3613,0.0011,1378.4048,0.0036,649.3956,0.0025,349.9720,0.0013,2042.1573,0.0072,782.0642,0.0033,768.0040,0.0031,1675.9167,0.0068,854.8887,0.0027,876.3132,0.0021,17300.7307,0.0670
56,-35,2776.3590,0.0100,601.6313,0.0039,691.0510,0.0036,1085.3307,0.0028,663.7727,0.0025,1116.2216,0.0070,303.5338,0.0020,1262.4069,0.0033,4759.2208,0.0181,328.2514,0.0012,3006.0371,0.0106,811.6978,0.0034,673.5753,0.0027,943.4953,0.0038,963.8845,0.0031,981.6780,0.0024,20968.1472,0.0804
57,-34,1744.0120,0.0060,680.2186,0.0044,630.4799,0.0033,828.7953,0.0022,625.6173,0.0023,1287.9144,0.0081,604.5005,0.0040,1047.2119,0.0028,3338.2254,0.0127,290.2917,0.0011,3675.5371,0.0129,949.3652,0.0040,509.1690,0.0020,1270.5143,0.0052,1063.3364,0.0034,975.0962,0.0024,19520.2852,0.0768
58,-33,1327.4750,0.0050,605.6580,0.0039,467.6306,0.0025,712.9130,0.0019,632.7443,0.0024,1328.0450,0.0083,570.1486,0.0038,790.9620,0.0021,1245.1894,0.0047,317.1495,0.0012,5698.5674,0.0201,1257.1262,0.0053,439.8738,0.0018,1419.1586,0.0058,1254.0746,0.0040,929.8276,0.0023,18996.5436,0.0751
59,-32,1370.6050,0.0050,601.1572,0.0039,408.3981,0.0021,618.1434,0.0016,608.9152,0.0023,1231.4137,0.0077,668.8217,0.0044,668.7802,0.0018,896.7860,0.0034,433.4558,0.0016,5910.6377,0.0208,1419.9037,0.0059,449.1387,0.0018,1291.3353,0.0053,2393.9669,0.0077,807.3655,0.0020,19778.8241,0.0773
60,-31,1526.2770,0.0050,591.8917,0.0038,495.8939,0.0026,571.4531,0.0015,620.1678,0.0023,1255.9015,0.0079,773.5640,0.0051,588.9901,0.0015,814.5239,0.0031,603.1313,0.0023,3744.5542,0.0132,2004.9083,0.0084,512.8331,0.0021,942.5253,0.0038,3788.4030,0.0122,757.3179,0.0018,19592.3361,0.0766
61,-30,1579.5630,0.0050,613.9786,0.0040,322.3893,0.0017,534.8548,0.0014,685.2144,0.0025,1270.4052,0.0080,694.0388,0.0046,538.3189,0.0014,813.9286,0.0031,637.5134,0.0024,2685.9351,0.0095,2072.8092,0.0087,637.3395,0.0026,825.2404,0.0034,1562.1909,0.0050,722.3352,0.0018,16196.0553,0.0651
62,-29,1486.2940,0.0050,506.7606,0.0033,242.8708,0.0013,540.9439,0.0014,740.3477,0.0028,1020.3798,0.0064,703.4700,0.0046,486.3439,0.0013,844.0995,0.0032,719.1145,0.0027,2120.9649,0.0075,1476.1191,0.0062,759.5269,0.0030,468.5473,0.0019,1069.9612,0.0034,718.3489,0.0017,13904.0930,0.0557
63,-28,1709.3060,0.0060,492.0759,0.0032,108.0922,0.0006,539.7625,0.0014,891.2112,0.0033,826.9773,0.0052,850.0010,0.0056,598.6203,0.0016,892.1318,0.0034,741.3433,0.0028,1160.1380,0.0041,1320.9164,0.0055,802.5840,0.0032,420.6118,0.0017,922.0134,0.0030,834.4454,0.0020,13110.2305,0.0526
