 ,Char. Length,Eucl. Length,File Name
166,16.3137,15.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
167,15.4853,13.8924,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
168,15.2426,14.3178,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
169,14.8284,13.3417,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
170,14.6569,13.6015,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
171,14.4853,13.0384,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
172,14.4142,14.0357,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
173,14.3137,13.6015,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
174,14.0711,13.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
175,14.0711,13.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
176,13.8995,13.0384,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
177,13.2426,11.7047,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
178,13.0711,12.0830,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
179,13.0711,12.0830,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
180,12.8995,12.2066,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
181,12.4142,12.0416,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
182,12.4142,12.0416,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
183,12.2426,11.4018,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
184,11.2426,9.8489,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
185,11.0000,11.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
186,10.4142,10.0499,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
187,9.8284,9.2195,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
188,9.8284,9.2195,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
189,8.0000,8.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
190,8.0000,8.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
191,7.4142,7.0711,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
192,7.0711,7.0711,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
193,7.0000,7.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
194,6.0000,6.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
195,5.4142,5.0990,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
196,5.2426,4.1231,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
197,5.0000,5.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
198,4.8284,4.4721,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
199,4.4142,4.1231,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
200,4.4142,4.1231,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
201,4.4142,4.1231,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
202,4.0000,4.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
203,4.0000,4.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
204,4.0000,4.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
205,3.4142,3.1623,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
206,3.2361,3.1623,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
207,2.4142,2.2361,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
208,2.0000,2.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
209,2.0000,2.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
210,2.0000,2.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
211,2.0000,0.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
212,1.4142,0.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
213,1.4142,0.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
214,1.0000,1.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
215,1.0000,1.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
