 ,Angle,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv Normalized,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
97,6,491.1118,0.0018,497.3840,0.0013,1525.9506,0.0042,2514.4464,0.0073
98,7,497.0421,0.0018,195.6486,0.0005,1035.2092,0.0028,1727.8999,0.0051
99,8,408.3299,0.0015,160.7065,0.0004,834.0488,0.0023,1403.0852,0.0042
100,9,319.5023,0.0012,102.8440,0.0003,731.9444,0.0020,1154.2907,0.0035
101,10,260.4335,0.0010,83.4138,0.0002,667.8017,0.0018,1011.6490,0.0030
102,11,223.9803,0.0008,76.8303,0.0002,647.0317,0.0018,947.8423,0.0028
103,12,243.9863,0.0009,81.4692,0.0002,640.0681,0.0017,965.5236,0.0028
104,13,285.3249,0.0010,435.6559,0.0012,721.6550,0.0020,1442.6358,0.0042
105,14,287.9000,0.0011,430.5485,0.0011,831.1387,0.0023,1549.5872,0.0045
106,15,383.2891,0.0014,333.4886,0.0009,751.8526,0.0020,1468.6303,0.0043
107,16,606.0825,0.0022,344.4573,0.0009,761.9556,0.0021,1712.4954,0.0052
108,17,466.6412,0.0017,404.6649,0.0011,939.2766,0.0026,1810.5827,0.0054
109,18,397.3984,0.0015,418.9534,0.0011,1390.8551,0.0038,2207.2069,0.0064
110,19,393.3619,0.0014,486.6468,0.0013,2103.3237,0.0057,2983.3324,0.0084
111,20,433.5986,0.0016,495.0791,0.0013,1284.5692,0.0035,2213.2469,0.0064
112,21,764.2413,0.0028,395.2087,0.0010,733.6875,0.0020,1893.1375,0.0058
113,22,1168.3160,0.0043,327.7988,0.0009,753.9340,0.0021,2250.0488,0.0073
114,23,684.2784,0.0025,319.1943,0.0008,779.8797,0.0021,1783.3524,0.0054
115,24,550.3271,0.0020,364.1612,0.0010,878.6790,0.0024,1793.1673,0.0054
116,25,454.0191,0.0017,414.9951,0.0011,863.7934,0.0024,1732.8076,0.0052
117,26,404.5621,0.0015,480.2562,0.0013,610.4568,0.0017,1495.2751,0.0045
118,27,428.3364,0.0016,537.6287,0.0014,705.6777,0.0019,1671.6428,0.0049
119,28,438.1172,0.0016,621.1375,0.0016,938.3061,0.0026,1997.5608,0.0058
120,29,222.8391,0.0008,846.9858,0.0022,2615.6013,0.0071,3685.4262,0.0101
121,30,282.5163,0.0010,1019.7754,0.0027,2965.0859,0.0081,4267.3776,0.0118
122,31,978.4997,0.0036,919.2423,0.0024,2327.0459,0.0063,4224.7879,0.0123
123,32,1074.6778,0.0039,923.0824,0.0025,2361.7231,0.0064,4359.4833,0.0128
124,33,535.9245,0.0020,1021.9429,0.0027,3470.1943,0.0094,5028.0617,0.0141
125,34,783.1588,0.0029,989.3241,0.0026,3803.5446,0.0103,5576.0275,0.0158
